TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,AccountDestinoID,Currency,TransactionStatus,Motivo
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,,ATM,AC00013,USD,Success,OK
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,AC00126,USD,Success,OK
TX000003,AC00019,126.29,10/07/2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,AC00379,USD,Completed,OK
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,AC00381,USD,completed,OK
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,AC00045,USD,COMPLETED,OK
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,AC00017,,completed,OK
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,AC00612,USD,declined,Cuenta destino no existe
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,AC00310,USD,Completed,OK
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,AC00602,USD,declined,Cuenta destino no existe
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,AC00360,USD,completed,OK
TX000011,AC00150,,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,AC00113,USD,completed,OK
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,AC00143,USD,COMPLETED,OK
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,AC00004,USD,Completed,OK
TX000014,AC00264,781.76,20-Nov-2023 04:39 PM,Debit,Memphis,D000054,193.83.0.183,M025,ATM,AC00082,USD,Completed,OK
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,AC00176,USD,completed,OK
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,AC00111,USD,Success,OK
TX000017,AC00317,555.8,30/10/2023 16:52,Credit,Austin,D000671,53.218.177.171,M048,Branch,AC00173,USD,Completed,OK
TX000018,AC00359,492.93,2023/12/14,Debit,Columbus,D000432,114.223.129.47,M059,Online,AC00195,USD,completed,OK
TX000019,AC00242,18.68,21/02/2023 16:56,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,AC00435,USD,completed,OK
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,AC00136,USD,completed,OK
TX000021,AC00002,59.32,2023/02/28,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,AC00375,USD,COMPLETED,OK
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,AC00065,USD,Completed,OK
TX000023,AC00095,52.2,06-Jun-2023 06:54 PM,Debit,Atlanta,D000142,133.63.96.21,M022,Online,,USD,Success,OK
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,AC00151,USD,Completed,OK
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,AC00318,USD,Completed,OK
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,AC00187,USD,completed,OK
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,AC00361,USD,Success,OK
TX000028,AC00057,40.32,03-29-2023,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,AC00839,USD,Completed,OK
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,AC00149,USD,COMPLETED,OK
TX000030,AC00313,56.17,20/09/2023 16:55,Debit,Detroit,D000297,33.28.138.82,M043,Branch,AC00439,USD,Completed,OK
TX000031,AC00367,28.31,17/07/2023 17:49,Credit,Miami,D000587,35.67.21.23,M091,Online,AC00052,USD,completed,OK
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,AC00233,USD,Completed,OK
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,AC00188,USD,Completed,OK
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,AC00182,USD,completed,OK
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,AC00137,USD,Success,OK
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,AC00351,USD,COMPLETED,OK
TX000037,AC00404,78.13,21/11/2023 16:58,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,AC00312,USD,COMPLETED,OK
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,AC00275,USD,COMPLETED,OK
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,D000077,49.29.37.185,M048,ATM,AC00084,USD,completed,OK
TX000040,AC00405,335.63,24/01/2023 17:17,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,AC00139,USD,completed,OK
