reporte de registros invalidos del proceso etlL
============================================================

transacciones con ids nulos
------------------------------------------------------------
{'TransactionID': 'TX000023', 'AccountID': 'AC00095', 'AccountDestinoID': nan, 'TransactionAmount': 52.2, 'Currency': 'USD', 'TransactionDate': '06-Jun-2023 06:54 PM', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX000150', 'AccountID': 'AC00279', 'AccountDestinoID': nan, 'TransactionAmount': 265.76, 'Currency': 'USD', 'TransactionDate': '2023-02-06 17:48:55', 'TransactionStatus': 'COMPLETED', 'Motivo': 'OK'}
{'TransactionID': 'TX000204', 'AccountID': 'AC00380', 'AccountDestinoID': nan, 'TransactionAmount': 51.0, 'Currency': 'USD', 'TransactionDate': '01-30-2023', 'TransactionStatus': 'COMPLETED', 'Motivo': 'OK'}
{'TransactionID': 'TX000225', 'AccountID': 'AC00198', 'AccountDestinoID': nan, 'TransactionAmount': 506.24, 'Currency': 'USD', 'TransactionDate': '2023-01-13 16:44:26', 'TransactionStatus': 'COMPLETED', 'Motivo': 'OK'}
{'TransactionID': 'TX000304', 'AccountID': 'AC00489', 'AccountDestinoID': nan, 'TransactionAmount': 167.44, 'Currency': 'USD', 'TransactionDate': '2023-09-25 16:11:18', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX000384', 'AccountID': 'AC00341', 'AccountDestinoID': nan, 'TransactionAmount': 96.54, 'Currency': 'USD', 'TransactionDate': '2023-03-13 17:26:17', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX000393', 'AccountID': 'AC00131', 'AccountDestinoID': nan, 'TransactionAmount': 222.39, 'Currency': 'USD', 'TransactionDate': '2023-08-23 16:32:59', 'TransactionStatus': 'Declined', 'Motivo': 'Fondos insuficientes'}
{'TransactionID': 'TX000474', 'AccountID': 'AC00464', 'AccountDestinoID': nan, 'TransactionAmount': 35.84, 'Currency': 'USD', 'TransactionDate': '28/03/2023 17:23', 'TransactionStatus': 'COMPLETED', 'Motivo': 'OK'}
{'TransactionID': 'TX000518', 'AccountID': 'AC00122', 'AccountDestinoID': nan, 'TransactionAmount': 358.18, 'Currency': 'USD', 'TransactionDate': '2023/04/10', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX000528', 'AccountID': 'AC00364', 'AccountDestinoID': nan, 'TransactionAmount': 143.54, 'Currency': 'USD', 'TransactionDate': '16/10/2023 16:06', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
{'TransactionID': 'TX000579', 'AccountID': 'AC00296', 'AccountDestinoID': nan, 'TransactionAmount': 48.85, 'Currency': 'USD', 'TransactionDate': '2023/12/08', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
