transaccion_id,cuenta_origen_id,cuenta_destino_id,monto_centavos,moneda,creado_en,estado,motivo
TX000001,AC00128,AC00013,1409,USD,2023-04-11T16:29:14-05:00,COMPLETADA,OK
TX000002,AC00455,AC00126,37624,USD,2023-06-27T16:44:19-05:00,COMPLETADA,OK
TX000003,AC00019,AC00379,12629,USD,2023-07-10T18:16:00-05:00,COMPLETADA,OK
TX000004,AC00070,AC00381,18450,USD,2023-05-05T16:32:11-05:00,COMPLETADA,OK
TX000005,AC00411,AC00045,1345,USD,2023-10-16T17:51:24-05:00,COMPLETADA,OK
TX000006,AC00393,AC00017,9215,USD,2023-04-03T17:15:01-05:00,COMPLETADA,OK
TX000008,AC00069,AC00310,17142,USD,2023-05-08T17:47:59-05:00,COMPLETADA,OK
TX000010,AC00385,AC00360,81596,USD,2023-03-31T16:06:57-05:00,COMPLETADA,OK
TX000012,AC00459,AC00143,19002,USD,2023-02-06T17:30:00-05:00,COMPLETADA,OK
TX000013,AC00392,AC00004,49452,USD,2023-06-07T17:21:28-05:00,COMPLETADA,OK
TX000014,AC00264,AC00082,78176,USD,2023-11-20T16:39:00-05:00,COMPLETADA,OK
TX000015,AC00085,AC00176,16699,USD,2023-02-13T16:53:57-05:00,COMPLETADA,OK
TX000016,AC00270,AC00111,46545,USD,2023-12-12T16:23:31-05:00,COMPLETADA,OK
TX000017,AC00317,AC00173,55580,USD,2023-10-30T16:52:00-05:00,COMPLETADA,OK
TX000018,AC00359,AC00195,49293,USD,2023-12-14T00:00:00-05:00,COMPLETADA,OK
TX000019,AC00242,AC00435,1868,USD,2023-02-21T16:56:00-05:00,COMPLETADA,OK
TX000020,AC00285,AC00136,7148,USD,2023-06-08T18:18:50-05:00,COMPLETADA,OK
TX000021,AC00002,AC00375,5932,USD,2023-02-28T00:00:00-05:00,COMPLETADA,OK
TX000022,AC00014,AC00065,8577,USD,2023-08-11T18:31:31-05:00,COMPLETADA,OK
TX000024,AC00453,AC00151,34584,USD,2023-05-02T18:25:46-05:00,COMPLETADA,OK
TX000025,AC00241,AC00318,14554,USD,2023-03-02T16:43:56-05:00,COMPLETADA,OK
TX000026,AC00041,AC00187,749,USD,2023-10-20T17:53:13-05:00,COMPLETADA,OK
TX000027,AC00441,AC00361,24693,USD,2023-04-17T16:37:01-05:00,COMPLETADA,OK
TX000029,AC00390,AC00149,12745,USD,2023-01-24T16:18:32-05:00,COMPLETADA,OK
TX000030,AC00313,AC00439,5617,USD,2023-09-20T16:55:00-05:00,COMPLETADA,OK
TX000031,AC00367,AC00052,2831,USD,2023-07-17T17:49:00-05:00,COMPLETADA,OK
TX000032,AC00291,AC00233,5912,USD,2023-02-06T16:24:24-05:00,COMPLETADA,OK
TX000033,AC00060,AC00188,39645,USD,2023-09-25T16:26:00-05:00,COMPLETADA,OK
TX000034,AC00359,AC00182,87781,USD,2023-03-13T17:23:24-05:00,COMPLETADA,OK
TX000035,AC00365,AC00137,25526,USD,2023-10-27T16:42:49-05:00,COMPLETADA,OK
TX000036,AC00267,AC00351,12476,USD,2023-10-16T16:32:56-05:00,COMPLETADA,OK
TX000037,AC00404,AC00312,7813,USD,2023-11-21T16:58:00-05:00,COMPLETADA,OK
TX000038,AC00202,AC00275,64928,USD,2023-03-02T17:53:32-05:00,COMPLETADA,OK
TX000039,AC00478,AC00084,79531,USD,2023-10-12T17:07:40-05:00,COMPLETADA,OK
TX000040,AC00405,AC00139,33563,USD,2023-01-24T17:17:00-05:00,COMPLETADA,OK
TX000041,AC00421,AC00328,32847,USD,2023-07-31T18:39:50-05:00,COMPLETADA,OK
TX000042,AC00480,AC00113,3402,USD,2023-01-09T16:13:21-05:00,COMPLETADA,OK
TX000043,AC00120,AC00433,24142,USD,2023-04-20T00:00:00-05:00,COMPLETADA,OK
